channel,subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa
POz,VP004,"{""C"": 0.8858667904100825, ""gamma"": ""scale""}",0.6266500733365927,0.5666666666666667,0.5417156286721504,0.5852272727272727,0.5666666666666667,0.1333333333333333
O1,VP004,"{""C"": 69.51927961775606, ""gamma"": ""auto""}",0.5886792032192262,0.4,0.3939393939393939,0.39583333333333337,0.4,-0.19999999999999996
Fp2,VP004,"{""C"": 0.8858667904100825, ""gamma"": ""auto""}",0.6622487766271694,0.5833333333333334,0.5775837792171219,0.5881316098707403,0.5833333333333333,0.16666666666666663
AF6,VP004,"{""C"": 0.29763514416313175, ""gamma"": ""scale""}",0.6624895572263994,0.5833333333333334,0.5822890559732665,0.5841750841750841,0.5833333333333333,0.16666666666666663
F2,VP004,"{""C"": 0.29763514416313175, ""gamma"": ""auto""}",0.6449865732101406,0.45,0.4461538461538462,0.44857142857142857,0.44999999999999996,-0.10000000000000009
FC2,VP004,"{""C"": 0.29763514416313175, ""gamma"": ""scale""}",0.622826244172721,0.36666666666666664,0.3659621802002225,0.3660714285714286,0.3666666666666667,-0.2666666666666666
FC6,VP004,"{""C"": 0.42813323987193935, ""gamma"": ""scale""}",0.6297984458205023,0.4166666666666667,0.3963782696177062,0.4037227214377407,0.41666666666666663,-0.16666666666666674
C4,VP004,"{""C"": 0.8858667904100825, ""gamma"": ""scale""}",0.6533179252411219,0.3333333333333333,0.3142857142857143,0.3125,0.3333333333333333,-0.33333333333333326
T8,VP004,"{""C"": 0.8858667904100825, ""gamma"": ""scale""}",0.592880978865406,0.4166666666666667,0.3657505285412262,0.3772504091653028,0.41666666666666663,-0.16666666666666674
CP2,VP004,"{""C"": 1.2742749857031335, ""gamma"": ""auto""}",0.6533333333333333,0.5,0.49776785714285715,0.5,0.5,0.0
CP6,VP004,"{""C"": 1.8329807108324356, ""gamma"": ""auto""}",0.6529477196885428,0.43333333333333335,0.41714285714285715,0.42500000000000004,0.43333333333333335,-0.1333333333333333
P4,VP004,"{""C"": 1.8329807108324356, ""gamma"": ""auto""}",0.6397438178260095,0.5333333333333333,0.5328142380422691,0.5334821428571428,0.5333333333333333,0.06666666666666665
P8,VP004,"{""C"": 5.455594781168517, ""gamma"": ""auto""}",0.643329370326337,0.38333333333333336,0.37902097902097903,0.38,0.3833333333333333,-0.2333333333333334
O2,VP004,"{""C"": 1.2742749857031335, ""gamma"": ""scale""}",0.5899954443938267,0.45,0.3552588733311625,0.37870619946091644,0.45,-0.10000000000000009
Fp1,VP005,"{""C"": 0.14384498882876628, ""gamma"": ""scale""}",0.639599555061179,0.55,0.5343489508479448,0.5577663671373556,0.5499999999999999,0.09999999999999998
AF5,VP005,"{""C"": 0.8858667904100825, ""gamma"": ""auto""}",0.6750745318728436,0.7,0.699666295884316,0.7008928571428572,0.7,0.4
AFz,VP005,"{""C"": 0.8858667904100825, ""gamma"": ""auto""}",0.6376811594202898,0.7,0.7,0.7,0.7,0.4
F1,VP005,"{""C"": 0.6158482110660264, ""gamma"": ""scale""}",0.6552839723780943,0.6666666666666666,0.6662958843159066,0.6674107142857143,0.6666666666666666,0.33333333333333337
FC5,VP005,"{""C"": 0.20691380811147897, ""gamma"": ""scale""}",0.64793061438902,0.6666666666666666,0.6662958843159066,0.6674107142857143,0.6666666666666666,0.33333333333333337
FC1,VP005,"{""C"": 0.29763514416313175, ""gamma"": ""scale""}",0.6304207778116842,0.6833333333333333,0.6760443307757886,0.7014652014652014,0.6833333333333333,0.3666666666666667
T7,VP005,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.6232286746318423,0.6666666666666666,0.6651785714285714,0.6696832579185521,0.6666666666666666,0.33333333333333337
C3,VP005,"{""C"": 0.42813323987193935, ""gamma"": ""scale""}",0.6715670941507663,0.6833333333333333,0.6723196320781835,0.7118100128369704,0.6833333333333333,0.3666666666666667
Cz,VP005,"{""C"": 0.42813323987193935, ""gamma"": ""scale""}",0.6368364418938307,0.7166666666666667,0.7101449275362319,0.7380952380952381,0.7166666666666667,0.43333333333333335
CP5,VP005,"{""C"": 0.1, ""gamma"": ""scale""}",0.6480277021562575,0.5666666666666667,0.5125,0.62,0.5666666666666667,0.1333333333333333
CP1,VP005,"{""C"": 0.6158482110660264, ""gamma"": ""scale""}",0.6523444464253878,0.7666666666666667,0.7643097643097643,0.7777777777777778,0.7666666666666666,0.5333333333333333
P7,VP005,"{""C"": 7.847599703514611, ""gamma"": ""auto""}",0.64793061438902,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.5333333333333333
P3,VP005,"{""C"": 0.29763514416313175, ""gamma"": ""scale""}",0.643992655949129,0.7333333333333333,0.7222222222222222,0.7777777777777777,0.7333333333333334,0.4666666666666667
Pz,VP005,"{""C"": 0.42813323987193935, ""gamma"": ""scale""}",0.6052455506490031,0.7833333333333333,0.7818181818181819,0.7914285714285714,0.7833333333333333,0.5666666666666667
POz,VP005,"{""C"": 11.288378916846883, ""gamma"": ""auto""}",0.6031172527264844,0.6666666666666666,0.6662958843159066,0.6674107142857143,0.6666666666666666,0.33333333333333337
O1,VP005,"{""C"": 1.2742749857031335, ""gamma"": ""scale""}",0.5963033396723718,0.6166666666666667,0.6113770768797522,0.6233842538190364,0.6166666666666667,0.23333333333333328
Fp2,VP005,"{""C"": 2.636650898730358, ""gamma"": ""auto""}",0.6466038406827881,0.55,0.5437904815544916,0.5528789659224442,0.55,0.09999999999999998
AF6,VP005,"{""C"": 0.42813323987193935, ""gamma"": ""scale""}",0.6558061821219716,0.7333333333333333,0.7285067873303167,0.7511961722488039,0.7333333333333334,0.4666666666666667
F2,VP005,"{""C"": 0.6158482110660264, ""gamma"": ""auto""}",0.6265099429109793,0.7333333333333333,0.7306397306397306,0.7430555555555556,0.7333333333333334,0.4666666666666667
FC2,VP005,"{""C"": 0.42813323987193935, ""gamma"": ""auto""}",0.6032956972841013,0.6666666666666666,0.6651785714285714,0.6696832579185521,0.6666666666666666,0.33333333333333337
FC6,VP005,"{""C"": 1.2742749857031335, ""gamma"": ""auto""}",0.6093705771125126,0.7,0.6986607142857143,0.7036199095022624,0.7,0.4
C4,VP005,"{""C"": 0.42813323987193935, ""gamma"": ""auto""}",0.6187198434389445,0.7,0.696969696969697,0.7083333333333333,0.7,0.4
T8,VP005,"{""C"": 0.42813323987193935, ""gamma"": ""scale""}",0.578125,0.6166666666666667,0.6113770768797522,0.6233842538190364,0.6166666666666667,0.23333333333333328
CP2,VP005,"{""C"": 0.8858667904100825, ""gamma"": ""auto""}",0.6020554892933977,0.7666666666666667,0.765625,0.7714932126696833,0.7666666666666666,0.5333333333333333
CP6,VP005,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.6397438178260095,0.75,0.7499305362600722,0.7502780867630701,0.75,0.5
P4,VP005,"{""C"": 16.23776739188721, ""gamma"": ""auto""}",0.6133333333333333,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.5333333333333333
P8,VP005,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.5965545984995833,0.6833333333333333,0.6825396825396826,0.6851851851851851,0.6833333333333333,0.3666666666666667
O2,VP005,"{""C"": 1.2742749857031335, ""gamma"": ""scale""}",0.6033289258769542,0.5666666666666667,0.5661846496106786,0.5669642857142857,0.5666666666666667,0.1333333333333333
Fp1,VP006,"{""C"": 0.20691380811147897, ""gamma"": ""scale""}",0.6592579395127165,0.8166666666666667,0.8162071846282373,0.8198653198653199,0.8166666666666667,0.6333333333333333
AF5,VP006,"{""C"": 1.2742749857031335, ""gamma"": ""auto""}",0.6680488649953616,0.8,0.7997775305895439,0.8013392857142857,0.8,0.6
AFz,VP006,"{""C"": 0.42813323987193935, ""gamma"": ""scale""}",0.6498316498316499,0.85,0.8499583217560434,0.850389321468298,0.8500000000000001,0.7
F1,VP006,"{""C"": 0.42813323987193935, ""gamma"": ""auto""}",0.6266968325791855,0.75,0.7493734335839599,0.7525252525252526,0.75,0.5
FC5,VP006,"{""C"": 0.6158482110660264, ""gamma"": ""scale""}",0.6112426828723356,0.75,0.7482517482517483,0.7571428571428571,0.75,0.5
FC1,VP006,"{""C"": 0.8858667904100825, ""gamma"": ""scale""}",0.6135363107840173,0.7,0.6914285714285715,0.7250000000000001,0.7,0.4
T7,VP006,"{""C"": 23.357214690901213, ""gamma"": ""scale""}",0.6298971936649069,0.7166666666666667,0.7159565580618212,0.7188552188552189,0.7166666666666667,0.43333333333333335
C3,VP006,"{""C"": 0.8858667904100825, ""gamma"": ""auto""}",0.6364687440940067,0.7166666666666667,0.706812302385743,0.7503209242618742,0.7166666666666667,0.43333333333333335
Cz,VP006,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.6066491844081959,0.7666666666666667,0.7624434389140271,0.7870813397129186,0.7666666666666666,0.5333333333333333
CP5,VP006,"{""C"": 0.42813323987193935, ""gamma"": ""scale""}",0.638053532329416,0.7833333333333333,0.7783461210571185,0.8113553113553114,0.7833333333333333,0.5666666666666667
CP1,VP006,"{""C"": 16.23776739188721, ""gamma"": ""auto""}",0.6399839992888572,0.7166666666666667,0.7127569698676429,0.7291421856639249,0.7166666666666667,0.43333333333333335
P7,VP006,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.6530866393880093,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.1333333333333333
P3,VP006,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.649341541338736,0.75,0.7482517482517483,0.7571428571428571,0.75,0.5
Pz,VP006,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.6558061821219716,0.7166666666666667,0.7159565580618212,0.7188552188552189,0.7166666666666667,0.43333333333333335
POz,VP006,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.6827375850207613,0.65,0.6499027507641011,0.6501668520578421,0.6499999999999999,0.30000000000000004
O1,VP006,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.6266002844950214,0.5666666666666667,0.5661846496106786,0.5669642857142857,0.5666666666666667,0.1333333333333333
Fp2,VP006,"{""C"": 0.20691380811147897, ""gamma"": ""auto""}",0.6665332799786581,0.8,0.7997775305895439,0.8013392857142857,0.8,0.6
