channel,n_subjects,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,precision_macro_mean,precision_macro_std,kappa_mean,kappa_std
T8,51,68.07291358754557,10.129324593313173,67.75422268753748,10.325996185655837,68.66303141414642,10.304622659060964,0.3614293850415342,0.20258121560964223
CP1,51,58.61853384569908,6.840062725047205,58.370291441376246,6.85585586152748,58.85401992693671,6.988279798255842,0.17235958520118969,0.13679775360592875
CP2,51,60.19923145137452,9.028010383040613,59.741175830479655,9.357290190563843,60.761310755836305,9.226931283908128,0.20391946919494752,0.18057591809024093
CP3,51,63.16942555916839,8.022888347413128,62.82409726301344,8.192523212302962,63.61257611614546,8.216698897186948,0.2633825301193613,0.16045828863726497
CP4,51,63.84762045521726,10.122815053942977,63.623024730357145,10.187202289418666,64.18478462407255,10.274255960036903,0.27693365307480305,0.20244617207186674
CP5,51,64.59158537786975,8.36820722138869,64.21993585392853,8.414553005665667,65.32849971831637,8.74005195825709,0.2918476891944892,0.167350967852134
CP6,51,64.55310868065818,9.942100477340711,64.16814417569867,10.159622449689401,65.12938651486401,10.152273910410743,0.2910335139052241,0.1988372185229484
TP7,51,64.3762932308602,8.65434947918997,63.917688612565826,8.916048483394402,64.99940659176556,9.000606031692923,0.28753932524843734,0.1730889224523476
TP8,51,64.91501625775939,9.571133103627691,64.63463981117728,9.711789132176671,65.32901593034714,9.790910679175852,0.29825557550325194,0.19143365861874106
Pz,51,66.15237954478273,12.903281963293153,65.78893787874523,13.272426793661474,66.42765609788711,13.247181008149916,0.32305234101511143,0.2580692637325291
P3,51,65.83747167208593,12.544602638984264,65.57576067115266,12.609416668335665,66.35951043152569,12.737356246108467,0.3167613204896346,0.25088941012163385
P4,51,68.11198147600749,12.834075391564777,67.8854290640698,13.033921847693161,68.36657306681468,12.874862766494061,0.3622251233322298,0.25668052925619067
P5,51,63.64085131540054,10.674439200622231,63.347846122556604,10.756990016176808,64.07254359900388,10.850435424534814,0.27282689129462845,0.21348379318283178
P6,51,67.03266331658291,12.151594683627286,66.83201911615988,12.229263748533247,67.3969260780685,12.284236309278706,0.3406279875820732,0.24303487645998786
P7,51,62.70893684106809,9.632618817438395,62.33040489556599,9.748196375866879,63.23367088737496,9.905173805428525,0.25418842690991617,0.19263456074315854
P8,51,64.36673563897921,10.473065361164096,64.09027052111483,10.60096261254241,64.7423456272625,10.605698105521382,0.2873210578766945,0.20945845733698593
POz,51,66.47546556310967,13.075755599833967,65.9888497378632,13.524522110489489,66.91638838276177,12.948030546986278,0.32952073307865415,0.26150611811434066
PO3,51,65.28776234111734,12.956535411534759,65.06501176778391,13.07485165411072,65.57546104187684,13.09613355029937,0.30577240577669196,0.25911708784258897
PO4,51,67.20021677012514,12.769066182390764,67.09495157549416,12.821222514847234,67.37921097780874,12.862494199953236,0.343998017181318,0.25537686959995104
PO5,51,64.29741846487339,12.125667422321536,63.95267567656956,12.318232993258967,64.67425306314513,12.252551678490539,0.28596387220636205,0.24249889626929677
PO6,51,66.83658488521036,11.748197386687915,66.65076304862899,11.844411706394238,67.1121305432022,11.792206218182516,0.33669937229319785,0.23497984365747823
PO7,51,63.003694945314805,10.854969774236816,62.68140508806722,11.029521452295729,63.32415175717935,10.980705164622554,0.2601008942045344,0.2170909703324646
PO8,51,65.27938713173712,11.150647199602593,65.02463567299097,11.297896750773715,65.62214462839866,11.207757902251679,0.30558369799091567,0.2230066360910852
Oz,51,60.982559858114094,11.188463938847857,60.5578518128831,11.61184535717021,61.06416356277929,11.409478120490952,0.21966961881604108,0.22376400884809253
O1,51,60.532712582520446,10.522159151210788,60.050952802210176,11.010833729202508,60.62418154553286,10.770185959035611,0.21067612130862534,0.21043860870384454
O2,51,63.32525371957828,11.481042712377423,63.03154799026477,11.719140552738445,63.50790916469825,11.57003264651323,0.2664971435092707,0.22962021800865806
