channel,subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa,valid,invalid_reason
P3,sub-011,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.5572095504868614,0.33666666666666667,0.3341208761218586,0.3341311360970915,,0.0050000000000000044,True,
P4,sub-001,"{""C"": 1.2742749857031335, ""gamma"": ""scale""}",0.5912584300228474,0.5466666666666666,0.5473661348704025,0.5484414920797139,,0.31999999999999995,True,
P4,sub-002,"{""C"": 0.42813323987193935, ""gamma"": ""scale""}",0.5558166831839786,0.73,0.7355555555555556,0.7739367816091954,,0.595,True,
P4,sub-003,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.5849385158250989,0.6266666666666667,0.6289405882944185,0.6336743129372149,,0.43999999999999995,True,
P4,sub-004,"{""C"": 33.59818286283781, ""gamma"": ""auto""}",0.5810559047926068,0.6066666666666667,0.6012336093857833,0.6041318818317416,,0.41000000000000003,True,
P4,sub-005,"{""C"": 16.23776739188721, ""gamma"": ""auto""}",0.6158105567183869,0.55,0.5462252632063953,0.609645053279468,,0.32499999999999996,True,
P4,sub-006,"{""C"": 1.2742749857031335, ""gamma"": ""scale""}",0.5970250835059973,0.49333333333333335,0.4891631348544256,0.4956431415546194,,0.24,True,
P4,sub-007,"{""C"": 1.2742749857031335, ""gamma"": ""scale""}",0.6072257480326101,0.4,0.36353249136506155,0.42889963605548126,,0.09999999999999998,True,
P4,sub-008,"{""C"": 0.8858667904100825, ""gamma"": ""scale""}",0.5852937643879491,0.56,0.5538002244441461,0.5573318876584277,,0.33999999999999997,True,
P4,sub-009,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.5944315918000128,0.6666666666666666,0.6615351471260856,0.66521947509351,,0.5,True,
P4,sub-010,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.6247529325514961,0.44481605351170567,0.44620291966560166,0.45913224202697894,,0.16692123063495523,True,
P4,sub-011,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.6103674201915158,0.36666666666666664,0.3589399809391689,0.38265669515669515,,0.050000000000000044,True,
P5,sub-001,"{""C"": 33.59818286283781, ""gamma"": ""auto""}",0.5213805628566625,0.44,0.43402358589949563,0.44782473818769186,,0.16000000000000003,True,
P5,sub-002,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.49223556949457886,0.74,0.7375981318076518,0.7383707928554971,,0.61,True,
P5,sub-003,"{""C"": 48.32930238571752, ""gamma"": ""scale""}",0.5206756932774376,0.5266666666666666,0.5271337003141291,0.5332033788174139,,0.29000000000000004,True,
P5,sub-004,"{""C"": 33.59818286283781, ""gamma"": ""auto""}",0.555874982817988,0.5933333333333334,0.5921114327673606,0.5940968094797836,,0.39,True,
P5,sub-005,"{""C"": 100.0, ""gamma"": ""auto""}",0.54287415112511,0.5466666666666666,0.5471782647113045,0.5602467548699269,,0.31999999999999995,True,
P5,sub-006,"{""C"": 2.636650898730358, ""gamma"": ""auto""}",0.5573529444897555,0.3933333333333333,0.39036697403156334,0.4099999134213445,,0.08999999999999997,True,
P5,sub-007,"{""C"": 1.2742749857031335, ""gamma"": ""scale""}",0.5715073816570263,0.3433333333333333,0.241140936716158,0.41455225965029885,,0.015000000000000013,True,
P5,sub-008,"{""C"": 16.23776739188721, ""gamma"": ""scale""}",0.491889466796696,0.5166666666666667,0.503215387876371,0.5069994343891403,,0.275,True,
P5,sub-009,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.5386347066054878,0.44666666666666666,0.4430839084904597,0.44659776055124895,,0.17000000000000004,True,
P5,sub-010,"{""C"": 100.0, ""gamma"": ""auto""}",0.5367328750239494,0.5217391304347826,0.5187346437346437,0.5249450003548364,,0.2823357615227098,True,
P5,sub-011,"{""C"": 3.79269019073225, ""gamma"": ""auto""}",0.5655078067366192,0.3566666666666667,0.3554029304029304,0.3572486381429471,,0.03500000000000003,True,
P6,sub-001,"{""C"": 33.59818286283781, ""gamma"": ""scale""}",0.5999957142794577,0.5133333333333333,0.5120946771489,0.5184593925445479,,0.27,True,
P6,sub-002,"{""C"": 11.288378916846883, ""gamma"": ""scale""}",0.5539852970276042,0.7333333333333333,0.7368583345505298,0.7532693001443002,,0.6,True,
P6,sub-003,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.5718405586207626,0.55,0.5499219317945775,0.5550134450252039,,0.32499999999999996,True,
P6,sub-004,"{""C"": 23.357214690901213, ""gamma"": ""scale""}",0.5764559958108345,0.6033333333333334,0.5994357994357994,0.6040119326419092,,0.405,True,
P6,sub-005,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.577226433581182,0.5266666666666666,0.5278016417485109,0.5578946542361177,,0.29000000000000004,True,
P6,sub-006,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.6034507119161857,0.47333333333333333,0.46870444478324,0.48309535476984616,,0.20999999999999996,True,
P6,sub-007,"{""C"": 7.847599703514611, ""gamma"": ""auto""}",0.6150508351488743,0.38666666666666666,0.3147020755657189,0.43469942423917324,,0.07999999999999996,True,
P6,sub-008,"{""C"": 1.2742749857031335, ""gamma"": ""scale""}",0.5925457468101913,0.6133333333333333,0.6054765540660573,0.6182424135471584,,0.42000000000000004,True,
P6,sub-009,"{""C"": 0.8858667904100825, ""gamma"": ""scale""}",0.5694401689621219,0.6733333333333333,0.6711894640100325,0.6744684661040349,,0.51,True,
P6,sub-010,"{""C"": 11.288378916846883, ""gamma"": ""auto""}",0.592383844632589,0.4983277591973244,0.5009978120266404,0.5046808441303855,,0.2473821989528795,True,
P6,sub-011,"{""C"": 0.20691380811147894, ""gamma"": ""scale""}",0.6037221314386573,0.3466666666666667,0.2854395154546924,0.4208166860666311,,0.020000000000000018,True,
P7,sub-001,"{""C"": 7.847599703514611, ""gamma"": ""auto""}",0.5484333935436254,0.42,0.4209527684004124,0.4274965072877787,,0.13,True,
P7,sub-002,"{""C"": 100.0, ""gamma"": ""scale""}",0.5297551014931018,0.7166666666666667,0.710994697507446,0.7134882869060085,,0.575,True,
P7,sub-003,"{""C"": 0.09999999999999999, ""gamma"": ""scale""}",0.5572683067608892,0.5433333333333333,0.5438279425274244,0.5448610977396959,,0.31499999999999995,True,
P7,sub-004,"{""C"": 1.2742749857031335, ""gamma"": ""scale""}",0.5395503196737369,0.6033333333333334,0.6025899833628208,0.6034210869194367,,0.405,True,
P7,sub-005,"{""C"": 100.0, ""gamma"": ""scale""}",0.552974197912966,0.52,0.5192191136099097,0.5288440340523675,,0.2799999999999999,True,
P7,sub-006,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.5701500186739582,0.37,0.3643221003134796,0.36863486119779026,,0.05500000000000005,True,
P7,sub-007,"{""C"": 23.357214690901213, ""gamma"": ""scale""}",0.5651697826075727,0.5266666666666666,0.509644144421709,0.643557063076027,,0.29000000000000004,True,
P7,sub-008,"{""C"": 1.2742749857031335, ""gamma"": ""scale""}",0.5300961851294036,0.5166666666666667,0.5084141927137097,0.5240694789081886,,0.275,True,
P7,sub-009,"{""C"": 69.51927961775604, ""gamma"": ""auto""}",0.5259134838440791,0.43666666666666665,0.42904676072679054,0.42964098306564064,,0.15500000000000003,True,
P7,sub-010,"{""C"": 69.51927961775604, ""gamma"": ""auto""}",0.5216004799514656,0.5752508361204013,0.5755878173993495,0.5783170832207696,,0.362794287919722,True,
P7,sub-011,"{""C"": 0.14384498882876628, ""gamma"": ""scale""}",0.582729044834308,0.35333333333333333,0.30407064844826254,0.38088854999404914,,0.030000000000000027,True,
P8,sub-001,"{""C"": 16.23776739188721, ""gamma"": ""scale""}",0.5724158105126396,0.4066666666666667,0.40931692073650455,0.4146974681345406,,0.10999999999999999,True,
P8,sub-002,"{""C"": 100.0, ""gamma"": ""auto""}",0.5240176328706111,0.77,0.7683350617688264,0.7726016225177098,,0.655,True,
P8,sub-003,"{""C"": 100.0, ""gamma"": ""auto""}",0.5757284826141315,0.49,0.49253561253561245,0.503578947368421,,0.235,True,
P8,sub-004,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.5280628188728902,0.59,0.5827597509013439,0.5870032223415681,,0.3849999999999999,True,
P8,sub-005,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.5691737129875148,0.5333333333333333,0.532210659113948,0.5354642782553916,,0.30000000000000004,True,
P8,sub-006,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.5749407816983222,0.45666666666666667,0.4567112055876101,0.46455793750875723,,0.18500000000000005,True,
P8,sub-007,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.574306460361015,0.4666666666666667,0.46597224746036936,0.471049877921172,,0.19999999999999996,True,
P8,sub-008,"{""C"": 1.2742749857031335, ""gamma"": ""scale""}",0.5609401099680441,0.59,0.5845012100952758,0.5890276613168179,,0.385,True,
P8,sub-009,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.5702163120299141,0.6133333333333333,0.6067893451260592,0.6127489406177931,,0.42000000000000004,True,
P8,sub-010,"{""C"": 2.636650898730358, ""gamma"": ""auto""}",0.5519855164589238,0.5016722408026756,0.5013194690614045,0.5048267589102435,,0.2523494663355037,True,
P8,sub-011,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.600077500484378,0.38,0.3625,0.4000000000000001,,0.06999999999999995,True,
POz,sub-001,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.555149161408307,0.5066666666666667,0.507102214232971,0.5077399690801753,,0.26,True,
POz,sub-002,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.49650472106431187,0.7533333333333333,0.7473593073593073,0.755506508205999,,0.63,True,
POz,sub-003,"{""C"": 16.23776739188721, ""gamma"": ""scale""}",0.5279462625378891,0.5733333333333334,0.5747236220805402,0.5882464205795038,,0.36,True,
POz,sub-004,"{""C"": 1.2742749857031335, ""gamma"": ""scale""}",0.5659856891457412,0.62,0.618377216774637,0.618642494678329,,0.43000000000000005,True,
POz,sub-005,"{""C"": 3.79269019073225, ""gamma"": ""auto""}",0.582139361687791,0.52,0.5226734188184637,0.5524006704130928,,0.28,True,
POz,sub-006,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.5868653587542758,0.35333333333333333,0.3511691865146973,0.358664337611706,,0.030000000000000027,True,
POz,sub-007,"{""C"": 0.6158482110660264, ""gamma"": ""scale""}",0.5686624757882899,0.33666666666666667,0.18009704721674014,0.38964218455743876,,0.004999999999999893,True,
POz,sub-008,"{""C"": 33.59818286283781, ""gamma"": ""auto""}",0.531040036145212,0.5466666666666666,0.5423360025049833,0.5419389610114774,,0.31999999999999995,True,
POz,sub-009,"{""C"": 0.6158482110660264, ""gamma"": ""scale""}",0.5573790650766127,0.59,0.5919446730801595,0.595512309622052,,0.385,True,
POz,sub-010,"{""C"": 0.09999999999999999, ""gamma"": ""scale""}",0.5605328842708309,0.5016722408026756,0.48313809108248035,0.5489248879079387,,0.251947746658607,True,
POz,sub-011,"{""C"": 0.42813323987193935, ""gamma"": ""scale""}",0.5651334440755699,0.37,0.3366211587274206,0.4104938271604938,,0.05500000000000005,True,
PO3,sub-001,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.5547497939311271,0.4633333333333333,0.4633116057601184,0.46661365680914685,,0.19499999999999995,True,
PO3,sub-002,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.5236938944401223,0.7366666666666667,0.7280707263566931,0.7364967020015958,,0.605,True,
PO3,sub-003,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.5713345156606805,0.5833333333333334,0.5854856521016601,0.5915730581678857,,0.375,True,
PO3,sub-004,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.5317385551335795,0.65,0.6474389684939288,0.6479870264982625,,0.475,True,
PO3,sub-005,"{""C"": 100.0, ""gamma"": ""auto""}",0.5504848826295308,0.4766666666666667,0.47914638802492443,0.48572574846697886,,0.21499999999999997,True,
PO3,sub-006,"{""C"": 16.23776739188721, ""gamma"": ""scale""}",0.621478184469489,0.39,0.3884841363102233,0.3950226244343891,,0.08499999999999996,True,
PO3,sub-007,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.5429319698197917,0.48333333333333334,0.45318243647734663,0.6164378664378666,,0.22499999999999998,True,
PO3,sub-008,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.5548337238058051,0.58,0.5723842797018538,0.5751887519342164,,0.37,True,
PO3,sub-009,"{""C"": 0.8858667904100825, ""gamma"": ""scale""}",0.544664685060776,0.5433333333333333,0.5415036318195875,0.5418858184026724,,0.31500000000000006,True,
PO3,sub-010,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.5382969517481079,0.5351170568561873,0.5335527916830466,0.5429391719659771,,0.30238686719484353,True,
PO3,sub-011,"{""C"": 0.8858667904100825, ""gamma"": ""scale""}",0.567525791316947,0.36333333333333334,0.3288394110101851,0.3863998666724635,,0.04500000000000004,True,
PO4,sub-001,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.5630420155654088,0.5366666666666666,0.5351487259867979,0.5347069597069597,,0.30499999999999994,True,
PO4,sub-002,"{""C"": 48.32930238571752, ""gamma"": ""scale""}",0.5091008034948908,0.6933333333333334,0.697240340131733,0.7231851969467086,,0.54,True,
PO4,sub-003,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.5416512038245297,0.45666666666666667,0.454504928897241,0.46312451230948753,,0.18500000000000005,True,
PO4,sub-004,"{""C"": 0.6158482110660264, ""gamma"": ""scale""}",0.5624322727318251,0.62,0.6081335921073913,0.6125381227936092,,0.43000000000000005,True,
PO4,sub-005,"{""C"": 0.6158482110660264, ""gamma"": ""scale""}",0.5414006778426821,0.5566666666666666,0.5566793347074062,0.5568157634731837,,0.33499999999999996,True,
PO4,sub-006,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.5616806897789649,0.35333333333333333,0.34758997090792243,0.35322093378987374,,0.030000000000000027,True,
PO4,sub-007,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.5768558522518918,0.3933333333333333,0.3527925934705595,0.3913548900045524,,0.08999999999999997,True,
PO4,sub-008,"{""C"": 1.2742749857031335, ""gamma"": ""scale""}",0.5822739660197312,0.5033333333333333,0.4913735416484828,0.492848074420118,,0.255,True,
