evaluation_setting,manuscript_table,dataset,published_dataset,task,primary,baseline,baseline_family,baseline_model,selected_method,primary_published_mean_abs_error_percent,baseline_published_mean_abs_error_percent,n_subjects,primary_mean_accuracy,primary_sd_accuracy,baseline_mean_accuracy,baseline_sd_accuracy,mean_difference,sd_difference,median_difference,q1_difference,q3_difference,min_difference,max_difference,n_exact_zero_before_rounding,n_created_zero_by_rounding,n_zero,n_positive,n_negative,n_nonzero,n_unique_abs_nonzero,n_tied_abs_groups,n_nonzero_in_tied_abs_groups,largest_abs_tie_group,positive_rank_sum,negative_rank_sum,wilcoxon_statistic,z_statistic,p_value_raw,p_value_method,rank_biserial_effect,cohen_dz,common_language_singlem_win_rate_excluding_zeros,holm_rank,holm_multiplier,p_value_holm,holm_family_size,significant_holm_0_05,direction
strict_svm,Tables II-III,wbcic_2c,WBCIC-MI-2C,motor_imagery,SingLEM,BENDR,foundation,bendr,one_row_per_subject,0.004156074490083483,0.0011735146319935552,51,0.7968415607449009,0.13418964789368518,0.5108882648536801,0.03708436722196381,0.28595329589123525,0.1298257271756145,0.32,0.1975,0.3834547738695,-0.015,0.47,0,0,0,49,2,51,39,12,24,2,1323.0,3.0,3.0,-6.186895840451618,6.136047922720797e-10,asymptotic,0.995475113122172,2.202593446708971,0.9607843137254902,2,9,6.125479469644924e-09,10,True,singlem_higher
strict_svm,Tables II-III,wbcic_2c,WBCIC-MI-2C,motor_imagery,SingLEM,BIOT,foundation,biot,one_row_per_subject,0.004156074490083483,0.0030870036456818184,51,0.7968415607449009,0.13418964789368518,0.5083308700364568,0.03528291692210564,0.2885106907084314,0.14244181794744068,0.325,0.2025,0.3875,-0.035,0.52,1,0,1,47,3,50,41,8,17,3,1266.0,9.0,9.0,-6.067474373503987,1.2993734260717952e-09,asymptotic,0.9858823529411764,2.025463412822268,0.94,6,5,7.675260932166015e-09,10,True,singlem_higher
strict_svm,Tables II-III,wbcic_2c,WBCIC-MI-2C,motor_imagery,SingLEM,LaBraM,foundation,labram,one_row_per_subject,0.004156074490083483,0.0031786382894907206,51,0.7968415607449009,0.13418964789368518,0.5723682136171051,0.05968474788969734,0.22447334712780392,0.11148466648767479,0.24,0.155,0.3,-0.07,0.455,0,0,0,48,3,51,35,13,29,4,1318.0,8.0,8.0,-6.140463844921544,8.228086156029572e-10,asymptotic,0.9879336349924586,2.0134907714203067,0.9411764705882353,3,8,6.5824689248236575e-09,10,True,singlem_higher
strict_svm,Tables II-III,wbcic_2c,WBCIC-MI-2C,motor_imagery,SingLEM,CBraMod,foundation,cbramod,one_row_per_subject,0.004156074490083483,0.0035116760272018155,51,0.7968415607449009,0.13418964789368518,0.781435116760272,0.1113893074077541,0.015406443984627451,0.060848296663382796,0.02,-0.015,0.042499999999999996,-0.185,0.16,3,0,3,31,17,48,21,10,37,7,825.5,350.5,350.5,-2.437966016411494,0.01477016248180425,asymptotic,0.4039115646258503,0.2531943345901204,0.6458333333333334,9,2,0.0295403249636085,10,True,singlem_higher
strict_svm,Tables II-III,wbcic_2c,WBCIC-MI-2C,motor_imagery,SingLEM,CodeBrain,foundation,codebrain,one_row_per_subject,0.004156074490083483,0.0030219726081242015,51,0.7968415607449009,0.13418964789368518,0.7417302197260813,0.11941486222814496,0.055111341018823534,0.06727019766829537,0.05,0.02,0.1,-0.13,0.2,0,0,0,43,8,51,26,12,37,6,1163.0,163.0,163.0,-4.68925765619049,2.7419795672410315e-06,asymptotic,0.7541478129713424,0.8192534425210655,0.8431372549019608,8,3,8.225938701723094e-06,10,True,singlem_higher
strict_svm,Tables II-III,wbcic_2c,WBCIC-MI-2C,motor_imagery,SingLEM,CSBrain,foundation,csbrain,one_row_per_subject,0.004156074490083483,0.0014080204946225194,51,0.7968415607449009,0.13418964789368518,0.7929140802049464,0.12759612258204467,0.003927480539941176,0.07886406617124311,0.005,-0.03,0.0325,-0.3,0.24,3,0,3,27,21,48,23,8,33,7,650.0,526.0,526.0,-0.636450018992969,0.5244831480379373,asymptotic,0.1054421768707483,0.04980063456800667,0.5625,10,1,0.5244831480379373,10,False,not_significant
strict_svm,Tables II-III,wbcic_2c,WBCIC-MI-2C,motor_imagery,SingLEM,LUNA,foundation,luna_large,one_row_per_subject,0.004156074490083483,0.003027884520648172,51,0.7968415607449009,0.13418964789368518,0.6226697211547936,0.09000147088842594,0.17417183959011762,0.1029657329998153,0.2,0.10250000000000001,0.2425,-0.04,0.41,0,0,0,49,2,51,40,9,20,3,1314.5,11.5,11.5,-6.107316747948423,1.0132003806185388e-09,asymptotic,0.9826546003016591,1.6915514950049453,0.9607843137254902,4,7,7.092402664329772e-09,10,True,singlem_higher
strict_svm,Tables II-III,wbcic_2c,WBCIC-MI-2C,motor_imagery,SingLEM,MIRepNet,foundation,mirepnet,one_row_per_subject,0.004156074490083483,0.001846487338646341,51,0.7968415607449009,0.13418964789368518,0.6125815351266135,0.1086749580398606,0.18426002561829413,0.15807217804606685,0.22,0.11,0.28822864321599995,-0.45,0.45,0,0,0,47,4,51,40,10,21,3,1241.5,84.5,84.5,-5.422937728353295,5.8627421052973697e-08,asymptotic,0.8725490196078431,1.1656701887450136,0.9215686274509803,7,4,2.3450968421189479e-07,10,True,singlem_higher
strict_svm,Tables II-III,wbcic_2c,WBCIC-MI-2C,motor_imagery,SingLEM,CSP,classical,csp,one_row_per_subject,0.004156074490083483,0.0049551679968402595,51,0.7968415607449009,0.13418964789368518,0.4970504483200316,0.03660941047173924,0.2997911124248627,0.14500381999342235,0.325,0.21,0.415,-0.01,0.515,0,0,0,49,2,51,37,11,25,3,1323.0,3.0,3.0,-6.187167690346974,6.125479469644924e-10,asymptotic,0.995475113122172,2.067470446216257,0.9607843137254902,1,10,6.125479469644924e-09,10,True,singlem_higher
strict_svm,Tables II-III,wbcic_2c,WBCIC-MI-2C,motor_imagery,SingLEM,Welch PSD,classical,welch_psd,one_row_per_subject,0.004156074490083483,0.0037777120898567773,51,0.7968415607449009,0.13418964789368518,0.5434377771208986,0.05031092404942651,0.25340378362399996,0.13479230472777962,0.285,0.185,0.345,-0.09,0.475,0,0,0,47,4,51,37,11,25,3,1310.5,15.5,15.5,-6.0699864840904025,1.2792101553610024e-09,asymptotic,0.9766214177978884,1.8799573472370152,0.9215686274509803,5,6,7.675260932166015e-09,10,True,singlem_higher
