evaluation_setting,manuscript_table,dataset,subject,primary,baseline,primary_accuracy,baseline_accuracy,difference_primary_minus_baseline,calibration_trial_ids_sha256,test_trial_ids_sha256
strict_svm,Tables II-III,dreyer,B73,SingLEM,CBraMod,0.70625,0.66875,0.0375,,
strict_svm,Tables II-III,dreyer,B74,SingLEM,CBraMod,0.63125,0.54375,0.0875,,
strict_svm,Tables II-III,dreyer,B75,SingLEM,CBraMod,0.7375,0.75625,-0.01875,,
strict_svm,Tables II-III,dreyer,B76,SingLEM,CBraMod,0.775,0.79375,-0.01875,,
strict_svm,Tables II-III,dreyer,B77,SingLEM,CBraMod,0.7375,0.73125,0.00625,,
strict_svm,Tables II-III,dreyer,B78,SingLEM,CBraMod,0.58125,0.68125,-0.1,,
strict_svm,Tables II-III,dreyer,B79,SingLEM,CBraMod,0.86875,0.85,0.01875,,
strict_svm,Tables II-III,dreyer,B80,SingLEM,CBraMod,0.66875,0.5625,0.10625,,
strict_svm,Tables II-III,dreyer,B81,SingLEM,CBraMod,0.81875,0.7,0.11875,,
strict_svm,Tables II-III,dreyer,B61,SingLEM,CodeBrain,0.86875,0.7875,0.08125,,
strict_svm,Tables II-III,dreyer,B62,SingLEM,CodeBrain,0.65625,0.64375,0.0125,,
strict_svm,Tables II-III,dreyer,B63,SingLEM,CodeBrain,0.7,0.7,0.0,,
strict_svm,Tables II-III,dreyer,B64,SingLEM,CodeBrain,0.75,0.5875,0.1625,,
strict_svm,Tables II-III,dreyer,B65,SingLEM,CodeBrain,0.79375,0.70625,0.0875,,
strict_svm,Tables II-III,dreyer,B66,SingLEM,CodeBrain,0.78125,0.7125,0.06875,,
strict_svm,Tables II-III,dreyer,B67,SingLEM,CodeBrain,0.88125,0.775,0.10625,,
strict_svm,Tables II-III,dreyer,B68,SingLEM,CodeBrain,0.65625,0.64375,0.0125,,
strict_svm,Tables II-III,dreyer,B69,SingLEM,CodeBrain,0.7125,0.5875,0.125,,
strict_svm,Tables II-III,dreyer,B70,SingLEM,CodeBrain,0.75625,0.64375,0.1125,,
strict_svm,Tables II-III,dreyer,B71,SingLEM,CodeBrain,0.75,0.58125,0.16875,,
strict_svm,Tables II-III,dreyer,B72,SingLEM,CodeBrain,0.83125,0.61875,0.2125,,
strict_svm,Tables II-III,dreyer,B73,SingLEM,CodeBrain,0.70625,0.69375,0.0125,,
strict_svm,Tables II-III,dreyer,B74,SingLEM,CodeBrain,0.63125,0.59375,0.0375,,
strict_svm,Tables II-III,dreyer,B75,SingLEM,CodeBrain,0.7375,0.63125,0.10625,,
strict_svm,Tables II-III,dreyer,B76,SingLEM,CodeBrain,0.775,0.6375,0.1375,,
strict_svm,Tables II-III,dreyer,B77,SingLEM,CodeBrain,0.7375,0.59375,0.14375,,
strict_svm,Tables II-III,dreyer,B78,SingLEM,CodeBrain,0.58125,0.5875,-0.00625,,
strict_svm,Tables II-III,dreyer,B79,SingLEM,CodeBrain,0.86875,0.76875,0.1,,
strict_svm,Tables II-III,dreyer,B80,SingLEM,CodeBrain,0.66875,0.55625,0.1125,,
