channel,subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa
FT8,sub-004,"{""C"": 3.79269019073225, ""gamma"": ""auto""}",0.5837723233178164,0.49666666666666665,0.49706213163044355,0.497778379028379,0.49666666666666665,0.245
Cz,sub-004,"{""C"": 7.847599703514611, ""gamma"": ""auto""}",0.5601619519953883,0.52,0.5230088191894581,0.5366884698969593,0.52,0.28
C1,sub-004,"{""C"": 0.29763514416313175, ""gamma"": ""scale""}",0.567308515190415,0.47,0.47333196398616956,0.4813905072249103,0.47,0.20499999999999996
C2,sub-004,"{""C"": 33.59818286283781, ""gamma"": ""auto""}",0.5273420133375675,0.4266666666666667,0.4249195040809559,0.42482517482517484,0.4266666666666667,0.14
C3,sub-004,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.5520188819361741,0.4633333333333333,0.4621608337596421,0.4626606198034769,0.4633333333333333,0.19499999999999995
C4,sub-004,"{""C"": 69.51927961775606, ""gamma"": ""auto""}",0.5269580907855494,0.46,0.45506424792139083,0.45781810035842296,0.45999999999999996,0.18999999999999995
C5,sub-004,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.5566243205346968,0.4866666666666667,0.49063553748003974,0.4982221043757309,0.48666666666666664,0.22999999999999998
C6,sub-004,"{""C"": 1.2742749857031335, ""gamma"": ""scale""}",0.5357777615732525,0.46,0.45463797860099825,0.4584026874499892,0.45999999999999996,0.18999999999999995
T7,sub-004,"{""C"": 3.79269019073225, ""gamma"": ""auto""}",0.5315402328879846,0.5066666666666667,0.5086312036776433,0.5132068316582711,0.5066666666666667,0.26
T8,sub-004,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.5486601743045042,0.4533333333333333,0.4493691925772223,0.4485653235653236,0.4533333333333333,0.18000000000000005
CP1,sub-004,"{""C"": 100.0, ""gamma"": ""auto""}",0.454698930983434,0.41333333333333333,0.41314720274676847,0.41325156325156326,0.4133333333333334,0.12
CP2,sub-004,"{""C"": 33.59818286283781, ""gamma"": ""scale""}",0.4639381377460821,0.43333333333333335,0.4335086663351913,0.43762463568031906,0.4333333333333333,0.15000000000000002
CP3,sub-004,"{""C"": 11.288378916846883, ""gamma"": ""scale""}",0.46905046367411957,0.4866666666666667,0.483974358974359,0.48527962552352805,0.48666666666666664,0.22999999999999998
CP4,sub-004,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.5371528901999816,0.5166666666666667,0.5100901044897482,0.5134936589482044,0.5166666666666666,0.275
CP5,sub-004,"{""C"": 11.288378916846883, ""gamma"": ""auto""}",0.5256736213348824,0.5266666666666666,0.5277070624589717,0.5326566089277954,0.5266666666666667,0.29000000000000004
CP6,sub-004,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.5153335479253166,0.4866666666666667,0.48306033534676746,0.48993903951798695,0.48666666666666664,0.22999999999999998
TP7,sub-004,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.5294411481621365,0.51,0.5133755933613472,0.5195740325264054,0.51,0.265
TP8,sub-004,"{""C"": 100.0, ""gamma"": ""auto""}",0.5331690619260306,0.5166666666666667,0.5137214572885093,0.5223357016618175,0.5166666666666667,0.275
Pz,sub-004,"{""C"": 2.636650898730358, ""gamma"": ""auto""}",0.4876159669326876,0.5933333333333334,0.5921944035346097,0.592508865248227,0.5933333333333334,0.3899999999999999
P3,sub-004,"{""C"": 11.288378916846883, ""gamma"": ""auto""}",0.5335515733655088,0.6,0.595118402396055,0.5999306464422743,0.6,0.4
P4,sub-004,"{""C"": 3.79269019073225, ""gamma"": ""auto""}",0.5923667045682297,0.63,0.6247863247863248,0.6296052631578948,0.63,0.44499999999999995
P5,sub-004,"{""C"": 1.8329807108324356, ""gamma"": ""auto""}",0.5150542051434981,0.6033333333333334,0.6024145299145299,0.6028609769189479,0.6033333333333333,0.405
