channel,subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa
AF6,VP008,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.8274647766352539,0.9722222222222222,0.9722007722007722,0.9736842105263157,0.9722222222222222,0.9444444444444444
F2,VP008,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.8036929323968394,0.9074074074074074,0.9073756432246998,0.9079670329670331,0.9074074074074074,0.8148148148148149
FC2,VP008,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.7980920626099842,0.8981481481481481,0.8980694980694981,0.8993808049535603,0.8981481481481481,0.7962962962962963
FC6,VP008,"{""C"": 69.51927961775606, ""gamma"": ""scale""}",0.7925669835782195,0.8611111111111112,0.8610992026065335,0.8612349914236707,0.8611111111111112,0.7222222222222222
C4,VP008,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.7923076923076924,0.8333333333333334,0.8331043956043955,0.8351724137931034,0.8333333333333333,0.6666666666666667
T8,VP008,"{""C"": 1.2742749857031335, ""gamma"": ""scale""}",0.7218406593406593,0.75,0.7489453293155403,0.7542727589815138,0.75,0.5
CP2,VP008,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.7529913089534632,0.8425925925925926,0.8424710424710424,0.8436532507739938,0.8425925925925926,0.6851851851851851
CP6,VP008,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.7406838263542066,0.7685185185185185,0.7683397683397684,0.7693498452012384,0.7685185185185185,0.537037037037037
P4,VP008,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.7458352085917181,0.7222222222222222,0.7221269296740995,0.7225274725274725,0.7222222222222222,0.4444444444444444
P8,VP008,"{""C"": 16.23776739188721, ""gamma"": ""scale""}",0.6662958843159066,0.6481481481481481,0.6462068965517241,0.6514726507713885,0.6481481481481481,0.2962962962962963
O2,VP008,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.6313790867833657,0.7037037037037037,0.7011414735385679,0.7109375,0.7037037037037037,0.40740740740740744
Fp1,VP009,"{""C"": 1.8329807108324356, ""gamma"": ""auto""}",0.8592283628779979,0.8703703703703703,0.8699690402476781,0.875,0.8703703703703703,0.7407407407407407
AF5,VP009,"{""C"": 1.2742749857031335, ""gamma"": ""scale""}",0.8370012622797871,0.8425925925925926,0.8414918414918415,0.8523809523809524,0.8425925925925926,0.6851851851851851
AFz,VP009,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.8314809035696282,0.8518518518518519,0.8510344827586207,0.8597475455820476,0.8518518518518519,0.7037037037037037
F1,VP009,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.8110696449152077,0.8888888888888888,0.8882758620689655,0.8976157082748948,0.8888888888888888,0.7777777777777778
FC5,VP009,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.8053626536588046,0.8425925925925926,0.8425790962874047,0.8427101200686107,0.8425925925925926,0.6851851851851851
FC1,VP009,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.7959576251391198,0.8981481481481481,0.8979293753758915,0.9015911449325493,0.8981481481481481,0.7962962962962963
T7,VP009,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.7496901170516311,0.8425925925925926,0.8422544892172867,0.8455551712210307,0.8425925925925926,0.6851851851851851
C3,VP009,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.7809737250965888,0.8796296296296297,0.8796193089256623,0.8797598627787306,0.8796296296296295,0.7592592592592593
Cz,VP009,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.7701149425287357,0.8796296296296297,0.8795366795366795,0.8808049535603715,0.8796296296296297,0.7592592592592593
CP5,VP009,"{""C"": 48.32930238571752, ""gamma"": ""scale""}",0.7405129331649185,0.9074074074074074,0.9073756432246998,0.9079670329670331,0.9074074074074074,0.8148148148148149
CP1,VP009,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.7736269173676398,0.8888888888888888,0.8888507718696398,0.8894230769230769,0.8888888888888888,0.7777777777777778
P7,VP009,"{""C"": 100.0, ""gamma"": ""scale""}",0.6517324185248714,0.7777777777777778,0.776551724137931,0.7840112201963534,0.7777777777777778,0.5555555555555556
P3,VP009,"{""C"": 16.23776739188721, ""gamma"": ""scale""}",0.7351770116361616,0.8333333333333334,0.8328173374613003,0.8375,0.8333333333333333,0.6666666666666667
Pz,VP009,"{""C"": 69.51927961775606, ""gamma"": ""scale""}",0.7333187006145743,0.8055555555555556,0.8041958041958042,0.8142857142857143,0.8055555555555556,0.6111111111111112
POz,VP009,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.6684264147448366,0.75,0.746324488908221,0.7653804149981798,0.75,0.5
O1,VP009,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.6349736301217097,0.6203703703703703,0.6129032258064515,0.6304347826086956,0.6203703703703703,0.2407407407407407
Fp2,VP009,"{""C"": 1.8329807108324356, ""gamma"": ""auto""}",0.8517522065585922,0.8796296296296297,0.8793710799896899,0.8829124870287097,0.8796296296296297,0.7592592592592593
AF6,VP009,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.8259163740122915,0.8518518518518519,0.8510344827586207,0.8597475455820476,0.8518518518518519,0.7037037037037037
F2,VP009,"{""C"": 0.8858667904100825, ""gamma"": ""scale""}",0.8144482929242949,0.8888888888888888,0.8882758620689655,0.8976157082748948,0.8888888888888888,0.7777777777777778
FC2,VP009,"{""C"": 33.59818286283781, ""gamma"": ""auto""}",0.7851380275506283,0.8148148148148148,0.8125,0.8311688311688312,0.8148148148148149,0.6296296296296297
FC6,VP009,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.7850790513833992,0.9166666666666666,0.9166023166023166,0.9179566563467492,0.9166666666666666,0.8333333333333334
C4,VP009,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.7832076889555333,0.8796296296296297,0.8796193089256623,0.8797598627787306,0.8796296296296295,0.7592592592592593
T8,VP009,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.732967032967033,0.8703703703703703,0.8696551724137931,0.8786816269284713,0.8703703703703703,0.7407407407407407
CP2,VP009,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.7679383644295925,0.8425925925925926,0.8422544892172867,0.8455551712210307,0.8425925925925926,0.6851851851851851
CP6,VP009,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.7444409388331801,0.8518518518518519,0.8510344827586207,0.8597475455820476,0.8518518518518519,0.7037037037037037
P4,VP009,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.7277693755980124,0.8240740740740741,0.8222299228969938,0.8381037567084079,0.8240740740740741,0.6481481481481481
P8,VP009,"{""C"": 23.357214690901213, ""gamma"": ""scale""}",0.6584675035404436,0.8055555555555556,0.7993453065557816,0.8487279843444226,0.8055555555555556,0.6111111111111112
O2,VP009,"{""C"": 69.51927961775606, ""gamma"": ""auto""}",0.6229867347184438,0.6574074074074074,0.641131567130669,0.6922915793883535,0.6574074074074074,0.31481481481481477
Fp1,VP010,"{""C"": 11.288378916846883, ""gamma"": ""scale""}",0.8554286341918831,0.7685185185185185,0.7680213076724804,0.7708405396056728,0.7685185185185185,0.537037037037037
AF5,VP010,"{""C"": 1.2742749857031335, ""gamma"": ""auto""}",0.827132191207906,0.7592592592592593,0.7571774472500865,0.7684659090909092,0.7592592592592593,0.5185185185185186
AFz,VP010,"{""C"": 3.79269019073225, ""gamma"": ""auto""}",0.8218091322819705,0.75,0.7494630122862789,0.7521618817018332,0.75,0.5
F1,VP010,"{""C"": 33.59818286283781, ""gamma"": ""auto""}",0.8055228759290827,0.6759259259259259,0.6756756756756757,0.6764705882352942,0.6759259259259259,0.35185185185185186
FC5,VP010,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.8009172004368934,0.75,0.7489453293155403,0.7542727589815138,0.75,0.5
FC1,VP010,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.8087812122899842,0.7129629629629629,0.7123464215138757,0.7148045658941543,0.712962962962963,0.42592592592592593
T7,VP010,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.757166739326699,0.6851851851851852,0.6824628156347284,0.6917613636363636,0.6851851851851851,0.37037037037037035
C3,VP010,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.8003393332895632,0.7592592592592593,0.7523809523809524,0.7916666666666666,0.7592592592592593,0.5185185185185186
Cz,VP010,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.7844281702549418,0.75,0.7482517482517483,0.7571428571428571,0.75,0.5
CP5,VP010,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.7884710539336962,0.6759259259259259,0.6711613745106568,0.6867491809246451,0.6759259259259259,0.35185185185185186
CP1,VP010,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.7786999569522169,0.7407407407407407,0.7363097314265783,0.7580882352941176,0.7407407407407407,0.4814814814814815
P7,VP010,"{""C"": 48.32930238571752, ""gamma"": ""scale""}",0.7238610038610038,0.6666666666666666,0.6648275862068966,0.670406732117812,0.6666666666666666,0.33333333333333337
P3,VP010,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.7774083183335853,0.7129629629629629,0.7099540847266742,0.7221824686940966,0.712962962962963,0.42592592592592593
Pz,VP010,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.7569665133249276,0.6481481481481481,0.6480274442538594,0.6483516483516484,0.6481481481481481,0.2962962962962963
POz,VP010,"{""C"": 16.23776739188721, ""gamma"": ""scale""}",0.7259221662848598,0.6296296296296297,0.6284829721362228,0.6312500000000001,0.6296296296296297,0.2592592592592593
O1,VP010,"{""C"": 11.288378916846883, ""gamma"": ""scale""}",0.6758358803371307,0.6296296296296297,0.6275862068965516,0.632538569424965,0.6296296296296297,0.2592592592592593
Fp2,VP010,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.8554286341918831,0.7314814814814815,0.7314584583726313,0.7315608919382504,0.7314814814814814,0.4629629629629629
AF6,VP010,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.8200982968068993,0.75,0.7499785646917603,0.7500857632933104,0.75,0.5
F2,VP010,"{""C"": 16.23776739188721, ""gamma"": ""scale""}",0.8202662036639891,0.7037037037037037,0.7037037037037037,0.7037037037037037,0.7037037037037037,0.40740740740740744
FC2,VP010,"{""C"": 16.23776739188721, ""gamma"": ""scale""}",0.8070262246412667,0.7037037037037037,0.7037037037037037,0.7037037037037037,0.7037037037037037,0.40740740740740744
FC6,VP010,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.8034853540971449,0.7314814814814815,0.7312741312741313,0.7321981424148607,0.7314814814814815,0.4629629629629629
C4,VP010,"{""C"": 11.288378916846883, ""gamma"": ""scale""}",0.7941896517980078,0.7314814814814815,0.7314584583726313,0.7315608919382504,0.7314814814814814,0.4629629629629629
T8,VP010,"{""C"": 11.288378916846883, ""gamma"": ""scale""}",0.7312741312741313,0.6388888888888888,0.6297142857142857,0.6541682527598021,0.6388888888888888,0.2777777777777778
CP2,VP010,"{""C"": 69.51927961775606, ""gamma"": ""scale""}",0.780611753040173,0.7592592592592593,0.7585139318885449,0.7625,0.7592592592592593,0.5185185185185186
CP6,VP010,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.7722214410886183,0.6944444444444444,0.6942084942084943,0.695046439628483,0.6944444444444444,0.38888888888888884
P4,VP010,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.7775305895439377,0.6944444444444444,0.6937881261276742,0.6961259079903148,0.6944444444444444,0.38888888888888884
P8,VP010,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.6892819857286092,0.6203703703703703,0.6129032258064515,0.6304347826086956,0.6203703703703703,0.2407407407407407
O2,VP010,"{""C"": 33.59818286283781, ""gamma"": ""auto""}",0.6613012215195356,0.5833333333333334,0.5772074815137016,0.5884601383327266,0.5833333333333334,0.16666666666666663
Fp1,VP011,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.8739893755748034,0.7314814814814815,0.7312741312741313,0.7321981424148607,0.7314814814814815,0.4629629629629629
AF5,VP011,"{""C"": 11.288378916846883, ""gamma"": ""scale""}",0.855547629499561,0.6481481481481481,0.6476648351648351,0.6489655172413793,0.6481481481481481,0.2962962962962963
AFz,VP011,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.8331479421579533,0.6481481481481481,0.638095238095238,0.6666666666666667,0.6481481481481481,0.2962962962962963
F1,VP011,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.812885319354053,0.6111111111111112,0.5973011363636364,0.6287758346581875,0.6111111111111112,0.2222222222222222
FC5,VP011,"{""C"": 16.23776739188721, ""gamma"": ""scale""}",0.8166660379493758,0.6296296296296297,0.6164772727272727,0.6502384737678856,0.6296296296296295,0.2592592592592593
FC1,VP011,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.7923618835743418,0.6851851851851852,0.6658172551874773,0.7410714285714286,0.6851851851851851,0.37037037037037035
T7,VP011,"{""C"": 100.0, ""gamma"": ""scale""}",0.7499922837124602,0.5555555555555556,0.5428571428571429,0.5625,0.5555555555555556,0.11111111111111116
