FC5	VP010_B	acc=0.7361	f1=0.7336	precision=0.7454	kappa=0.4722	inner_f1=0.8139
FC5	VP011_B	acc=0.6528	f1=0.6370	precision=0.6849	kappa=0.3056	inner_f1=0.7666
FC5	VP012_B	acc=0.9861	f1=0.9861	precision=0.9865	kappa=0.9722	inner_f1=0.7806
FC5	VP013_B	acc=0.8333	f1=0.8332	precision=0.8344	kappa=0.6667	inner_f1=0.7667
FC5	VP014_B	acc=0.9583	f1=0.9583	precision=0.9587	kappa=0.9167	inner_f1=0.8027
FC5	VP015_B	acc=0.8750	f1=0.8738	precision=0.8897	kappa=0.7500	inner_f1=0.7747
FC5	VP016_B	acc=0.8611	f1=0.8607	precision=0.8656	kappa=0.7222	inner_f1=0.7889
FC5	VP017_B	acc=0.7222	f1=0.7220	precision=0.7229	kappa=0.4444	inner_f1=0.8000
FC5	VP018_B	acc=0.8333	f1=0.8332	precision=0.8344	kappa=0.6667	inner_f1=0.7972
FC5	VP019_B	acc=0.7778	f1=0.7762	precision=0.7857	kappa=0.5556	inner_f1=0.8222
FC5	VP020_B	acc=0.8472	f1=0.8465	precision=0.8541	kappa=0.6944	inner_f1=0.8111
FC5	VP021_B	acc=0.8750	f1=0.8738	precision=0.8897	kappa=0.7500	inner_f1=0.8167
FC5	VP022_B	acc=0.6806	f1=0.6790	precision=0.6841	kappa=0.3611	inner_f1=0.8056
FC5	VP023_B	acc=0.7917	f1=0.7916	precision=0.7919	kappa=0.5833	inner_f1=0.8139
FC5	VP024_B	acc=0.6250	f1=0.5969	precision=0.6733	kappa=0.2500	inner_f1=0.8110
FC5	VP025_B	acc=0.9861	f1=0.9861	precision=0.9865	kappa=0.9722	inner_f1=0.7694
FC5	VP026_B	acc=0.7222	f1=0.7214	precision=0.7250	kappa=0.4444	inner_f1=0.8111
FC1	VP001_B	acc=0.6389	f1=0.6286	precision=0.6562	kappa=0.2778	inner_f1=0.7471
FC1	VP002_B	acc=0.6528	f1=0.6370	precision=0.6849	kappa=0.3056	inner_f1=0.7722
FC1	VP003_B	acc=0.7778	f1=0.7778	precision=0.7778	kappa=0.5556	inner_f1=0.7861
FC1	VP004_B	acc=0.7361	f1=0.7361	precision=0.7363	kappa=0.4722	inner_f1=0.7749
FC1	VP005_B	acc=0.7083	f1=0.7069	precision=0.7124	kappa=0.4167	inner_f1=0.8083
FC1	VP006_B	acc=0.6944	f1=0.6944	precision=0.6944	kappa=0.3889	inner_f1=0.8027
FC1	VP007_B	acc=0.7639	f1=0.7616	precision=0.7743	kappa=0.5278	inner_f1=0.7889
FC1	VP008_B	acc=0.8611	f1=0.8611	precision=0.8611	kappa=0.7222	inner_f1=0.8055
FC1	VP009_B	acc=0.8750	f1=0.8748	precision=0.8776	kappa=0.7500	inner_f1=0.7472
FC1	VP010_B	acc=0.7917	f1=0.7907	precision=0.7974	kappa=0.5833	inner_f1=0.7855
FC1	VP011_B	acc=0.5139	f1=0.4687	precision=0.5211	kappa=0.0278	inner_f1=0.8194
FC1	VP012_B	acc=0.9722	f1=0.9722	precision=0.9737	kappa=0.9444	inner_f1=0.7971
FC1	VP013_B	acc=0.7639	f1=0.7627	precision=0.7691	kappa=0.5278	inner_f1=0.7805
FC1	VP014_B	acc=0.9167	f1=0.9164	precision=0.9219	kappa=0.8333	inner_f1=0.7745
FC1	VP015_B	acc=0.8611	f1=0.8601	precision=0.8714	kappa=0.7222	inner_f1=0.7778
FC1	VP016_B	acc=0.7778	f1=0.7750	precision=0.7922	kappa=0.5556	inner_f1=0.7749
FC1	VP017_B	acc=0.5833	f1=0.5830	precision=0.5836	kappa=0.1667	inner_f1=0.8028
FC1	VP018_B	acc=0.6944	f1=0.6906	precision=0.7045	kappa=0.3889	inner_f1=0.7722
FC1	VP019_B	acc=0.7778	f1=0.7771	precision=0.7812	kappa=0.5556	inner_f1=0.7527
FC1	VP020_B	acc=0.7917	f1=0.7884	precision=0.8111	kappa=0.5833	inner_f1=0.7722
FC1	VP021_B	acc=0.8750	f1=0.8744	precision=0.8824	kappa=0.7500	inner_f1=0.7692
FC1	VP022_B	acc=0.6944	f1=0.6923	precision=0.7000	kappa=0.3889	inner_f1=0.7833
FC1	VP023_B	acc=0.7222	f1=0.7214	precision=0.7250	kappa=0.4444	inner_f1=0.7777
FC1	VP024_B	acc=0.6250	f1=0.6160	precision=0.6379	kappa=0.2500	inner_f1=0.7861
FC1	VP025_B	acc=0.9722	f1=0.9722	precision=0.9737	kappa=0.9444	inner_f1=0.7583
FC1	VP026_B	acc=0.7222	f1=0.7214	precision=0.7250	kappa=0.4444	inner_f1=0.7694
